"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adamo\Documents\GitHub\Omega\src\algorithms.py", "Python", 7, 0, 5, 12
"c:\Users\adamo\Documents\GitHub\Omega\src\compression.py", "Python", 31, 8, 10, 49
"c:\Users\adamo\Documents\GitHub\Omega\src\compressionGUI.py", "Python", 87, 3, 27, 117
"c:\Users\adamo\Documents\GitHub\Omega\src\compressionUI.py", "Python", 89, 11, 20, 120
"c:\Users\adamo\Documents\GitHub\Omega\src\frequency_analyzer.py", "Python", 7, 0, 3, 10
"c:\Users\adamo\Documents\GitHub\Omega\src\log_manager.py", "Python", 19, 0, 6, 25
"c:\Users\adamo\Documents\GitHub\Omega\src\main.py", "Python", 60, 3, 11, 74
"c:\Users\adamo\Documents\GitHub\Omega\src\math_tests.py", "Python", 58, 0, 7, 65
"c:\Users\adamo\Documents\GitHub\Omega\src\math_testsGUI.py", "Python", 111, 2, 42, 155
"c:\Users\adamo\Documents\GitHub\Omega\src\math_testsUI.py", "Python", 25, 0, 3, 28
"c:\Users\adamo\Documents\GitHub\Omega\src\todolist.py", "Python", 39, 1, 8, 48
"c:\Users\adamo\Documents\GitHub\Omega\src\todolistGUI.py", "Python", 74, 5, 24, 103
"c:\Users\adamo\Documents\GitHub\Omega\src\todolistUI.py", "Python", 55, 1, 7, 63
"Total", "-", 662, 34, 173, 869
