"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adamo\Documents\GitHub\Omega\src\algorithms.py", "Python", 20, 0, 10, 30
"c:\Users\adamo\Documents\GitHub\Omega\src\main.py", "Python", 2, 0, 0, 2
"c:\Users\adamo\Documents\GitHub\Omega\src\test_work_with_txt.py", "Python", 47, 3, 17, 67
"c:\Users\adamo\Documents\GitHub\Omega\src\work_with_files.py", "Python", -118, 0, -10, -128
"c:\Users\adamo\Documents\GitHub\Omega\src\work_with_filesGUI.py", "Python", -81, -4, -17, -102
"c:\Users\adamo\Documents\GitHub\Omega\src\work_with_filesUI.py", "Python", -50, 0, -6, -56
"c:\Users\adamo\Documents\GitHub\Omega\src\work_with_txt.py", "Python", 123, 9, 15, 147
"c:\Users\adamo\Documents\GitHub\Omega\src\work_with_txtGUI.py", "Python", 140, 1, 33, 174
"c:\Users\adamo\Documents\GitHub\Omega\src\work_with_txtUI.py", "Python", 52, 0, 2, 54
"Total", "-", 135, 9, 44, 188
